ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
202787_s_at	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	-1.091	4.325
202790_at	CLDN7	claudin 7	-2.947	8.721
202794_at	INPP1	inositol polyphosphate-1-phosphatase	1.931	6.807
202795_x_at	TRIOBP	TRIO and F-actin binding protein	1.091	8.999
202796_at	SYNPO	synaptopodin	2.444	8.074
202803_s_at	ITGB2	integrin subunit beta 2	-2.573	6.448
202805_s_at	ABCC1	ATP binding cassette subfamily C member 1	-1.116	4.904
202808_at	WBP1L	WW domain binding protein 1-like	1.269	7.997
202809_s_at	INTS3	integrator complex subunit 3	1.008	6.792
202811_at	STAMBP	STAM binding protein	-1.451	13.113
202814_s_at	HEXIM1	hexamethylene bisacetamide inducible 1	-1.455	6.496
202816_s_at	SS18	"SS18, nBAF chromatin remodeling complex subunit"	-1.898	9.54
202817_s_at	SS18	"SS18, nBAF chromatin remodeling complex subunit"	-2.5	10.093
202819_s_at	TCEB3	transcription elongation factor B subunit 3	-1.168	6.543
202823_at	TCEB1	transcription elongation factor B subunit 1	-1.431	9.081
202824_s_at	TCEB1	transcription elongation factor B subunit 1	-1.615	12.481
202826_at	SPINT1	"serine peptidase inhibitor, Kunitz type 1"	-1.162	4.868
202827_s_at	MMP14	matrix metallopeptidase 14	-2.706	8.838
202828_s_at	MMP14	matrix metallopeptidase 14	-1.231	6.711
202829_s_at	VAMP7	vesicle associated membrane protein 7	-3.311	8.824
202830_s_at	SLC37A4	solute carrier family 37 member 4	-1.05	5.079
202843_at	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	-2.098	9.282
202847_at	PCK2	"phosphoenolpyruvate carboxykinase 2, mitochondrial"	-1.132	2.887
202852_s_at	AAGAB	alpha- and gamma-adaptin binding protein	-1.542	10.508
202854_at	HPRT1	hypoxanthine phosphoribosyltransferase 1	-2.475	8.511
202855_s_at	MIR6787///SLC16A3	microRNA 6787///solute carrier family 16 member 3	-2.8	6.982
202856_s_at	MIR6787///SLC16A3	microRNA 6787///solute carrier family 16 member 3	-4.944	15.388
202859_x_at	CXCL8	C-X-C motif chemokine ligand 8	-3.631	5.735
202861_at	MIR6883///PER1	microRNA 6883///period circadian clock 1	1.839	4.904
202862_at	FAH	fumarylacetoacetate hydrolase	1.013	2.233
202868_s_at	POP4	"POP4 homolog, ribonuclease P/MRP subunit"	-1.219	4.463
202869_at	OAS1	2'-5'-oligoadenylate synthetase 1	-3.615	6.769
202870_s_at	CDC20	cell division cycle 20	-5.856	21.924
202871_at	TRAF4	TNF receptor associated factor 4	-1.931	4.951
202872_at	ATP6V1C1	ATPase H+ transporting V1 subunit C1	-2.55	11.643
202874_s_at	ATP6V1C1	ATPase H+ transporting V1 subunit C1	-3.358	14.938
202882_x_at	NOL7	nucleolar protein 7	-1.285	8.046
202887_s_at	DDIT4	DNA damage inducible transcript 4	-2.739	7.305
202888_s_at	ANPEP	"alanyl aminopeptidase, membrane"	3.819	9.366
202889_x_at	MAP7	microtubule associated protein 7	-3.163	11.061
202892_at	CDC23	cell division cycle 23	-1.438	6.424
202899_s_at	SRSF3	serine and arginine rich splicing factor 3	-2.832	16.784
202901_x_at	CTSS	cathepsin S	-1.412	3.837
202902_s_at	CTSS	cathepsin S	-4.097	9.661
202904_s_at	LSM5	"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated"	-1.414	7.964
202905_x_at	NBN	nibrin	-1.616	5.953
202906_s_at	NBN	nibrin	-1.34	5.344
202907_s_at	NBN	nibrin	-1.089	4.342
202915_s_at	FAM20B	family with sequence similarity 20 member B	-2.911	11.421
202917_s_at	S100A8	S100 calcium binding protein A8	-8.336	10.47
202918_s_at	HSPE1-MOB4///MOB4	"HSPE1-MOB4 readthrough///MOB family member 4, phocein"	-2.424	12.301
202920_at	ANK2	"ankyrin 2, neuronal"	4.505	11.83
202923_s_at	GCLC	glutamate-cysteine ligase catalytic subunit	-1.846	6.628
202925_s_at	PLAGL2	PLAG1 like zinc finger 2	-1.862	7.188
202931_x_at	BIN1	bridging integrator 1	2.192	9.424
202932_at	YES1	"YES proto-oncogene 1, Src family tyrosine kinase"	-2.375	8.1
202935_s_at	SOX9	SRY-box 9	-2.204	5.292
202939_at	ZMPSTE24	zinc metallopeptidase STE24	-1.689	9.689
202941_at	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	-1.457	7.314
202942_at	ETFB	electron transfer flavoprotein beta subunit	1.271	4.116
202943_s_at	NAGA	alpha-N-acetylgalactosaminidase	-1.584	9.182
202944_at	NAGA	alpha-N-acetylgalactosaminidase	-1.083	4.816
202947_s_at	GYPC	glycophorin C (Gerbich blood group)	1.861	8.894
202952_s_at	ADAM12	ADAM metallopeptidase domain 12	-2.835	7.784
202953_at	C1QB	complement C1q B chain	-1.253	1.741
202954_at	UBE2C	ubiquitin conjugating enzyme E2 C	-6.007	27.794
202955_s_at	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	-3.136	17.126
202957_at	HCLS1	hematopoietic cell-specific Lyn substrate 1	-1.069	1.659
202962_at	KIF13B	kinesin family member 13B	1.304	4.459
202963_at	RFX5	regulatory factor X5	-1.447	5.908
202964_s_at	RFX5	regulatory factor X5	-1.324	4.654
202965_s_at	CAPN6	calpain 6	3.435	9.932
202968_s_at	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	-1.999	9.23
202969_at	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	-1.545	5.018
202971_s_at	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	-3.216	13.353
202972_s_at	FAM13A	family with sequence similarity 13 member A	1.187	1.903
202973_x_at	FAM13A	family with sequence similarity 13 member A	1.834	4.997
202975_s_at	RHOBTB3	Rho related BTB domain containing 3	-1.442	3.476
202978_s_at	CREBZF	CREB/ATF bZIP transcription factor	-2.078	9.461
202979_s_at	CREBZF	CREB/ATF bZIP transcription factor	-2.447	10.409
202980_s_at	SIAH1	siah E3 ubiquitin protein ligase 1	-1.258	9.629
202983_at	HLTF	helicase like transcription factor	-2.151	7.391
202984_s_at	BAG5	BCL2 associated athanogene 5	-1.573	7.848
202988_s_at	RGS1	regulator of G-protein signaling 1	-4.008	7.617
202991_at	STARD3	StAR related lipid transfer domain containing 3	-3.683	11.263
202992_at	C7	complement component 7	2.893	10.98
202994_s_at	FBLN1	fibulin 1	2.097	5.098
202998_s_at	LOXL2	lysyl oxidase like 2	-1.855	3.374
203002_at	AMOTL2	angiomotin like 2	1.143	2.575
203007_x_at	LYPLA1	lysophospholipase I	-3.664	16.673
203008_x_at	TXNDC9	thioredoxin domain containing 9	-2.558	12.266
203010_at	STAT5A	signal transducer and activator of transcription 5A	3.167	14.722
203011_at	IMPA1	inositol monophosphatase 1	-1.325	6.054
203016_s_at	SSX2IP	SSX family member 2 interacting protein	-2.409	7.481
203017_s_at	SSX2IP	SSX family member 2 interacting protein	-1.536	5.05
203022_at	RNASEH2A	ribonuclease H2 subunit A	-2.628	9.15
203023_at	NOP16	NOP16 nucleolar protein	-1.601	7.577
203028_s_at	CYBA	cytochrome b-245 alpha chain	-1.99	5.83
203031_s_at	UROS	uroporphyrinogen III synthase	-1.006	3.2
203032_s_at	FH	fumarate hydratase	-2.997	12.202
203035_s_at	PIAS3	protein inhibitor of activated STAT 3	-1.59	3.899
203039_s_at	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	-1.56	9.396
203041_s_at	LAMP2	lysosomal associated membrane protein 2	-2.09	7.824
203042_at	LAMP2	lysosomal associated membrane protein 2	-1.132	4.05
203046_s_at	TIMELESS	timeless circadian clock	-2.577	12.55
203048_s_at	TTC37	tetratricopeptide repeat domain 37	-2.011	6.955
203052_at	C2	complement component 2	-1.658	3.153
203057_s_at	PRDM2	PR/SET domain 2	-1.594	6.828
203058_s_at	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	-2.669	5.333
203059_s_at	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	-1.647	3.398
203060_s_at	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	-1.405	2.212
203063_at	PPM1F	"protein phosphatase, Mg2+/Mn2+ dependent 1F"	2.65	15.908
203064_s_at	FOXK2	forkhead box K2	-1.586	4.619
203065_s_at	CAV1	caveolin 1	2.794	6.317
203067_at	PDHX	pyruvate dehydrogenase complex component X	-1.658	5.478
203068_at	KLHL21	kelch like family member 21	2.59	14.87
203071_at	MIR6872///SEMA3B	microRNA 6872///semaphorin 3B	1.599	8.52
203073_at	COG2	component of oligomeric golgi complex 2	-1.987	8.728
203074_at	ANXA8L1///ANXA8	annexin A8-like 1///annexin A8	2.692	4.963
203076_s_at	SMAD2	SMAD family member 2	-1.339	6.65
203079_s_at	CUL2	cullin 2	-2.478	10.957
203085_s_at	TGFB1	transforming growth factor beta 1	-2.565	7.887
203087_s_at	KIF2A	kinesin family member 2A	-3.503	16.215
203090_at	SDF2	stromal cell derived factor 2	-1.307	3.349
203094_at	MAD2L1BP	MAD2L1 binding protein	-1.374	8.444
203098_at	CDYL	chromodomain Y-like	-1.08	6.814
203099_s_at	CDYL	chromodomain Y-like	-1.692	8.857
203100_s_at	CDYL	chromodomain Y-like	-2.857	12.908
203102_s_at	MGAT2	"mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"	-1.455	9.498
203105_s_at	DNM1L	dynamin 1 like	-2.381	14.217
203108_at	GPRC5A	G protein-coupled receptor class C group 5 member A	-5.782	14.452
203109_at	UBE2M	ubiquitin conjugating enzyme E2 M	-4.254	12.684
203114_at	SSSCA1	Sjogren syndrome/scleroderma autoantigen 1	-1.177	5.141
203116_s_at	FECH	ferrochelatase	-1.522	4.164
203120_at	TP53BP2	tumor protein p53 binding protein 2	-1.379	5.435
203123_s_at	SLC11A2	solute carrier family 11 member 2	-2.862	9.747
203126_at	IMPA2	inositol monophosphatase 2	-1.952	3.173
203127_s_at	SPTLC2	serine palmitoyltransferase long chain base subunit 2	-2.715	12.231
203128_at	SPTLC2	serine palmitoyltransferase long chain base subunit 2	-1.844	6.583
203130_s_at	KIF5C	kinesin family member 5C	1.36	2.793
203131_at	PDGFRA	platelet derived growth factor receptor alpha	1.58	4.335
203136_at	RABAC1	Rab acceptor 1	-1.341	8.075
203138_at	HAT1	histone acetyltransferase 1	-1.91	9.152
203139_at	DAPK1	death associated protein kinase 1	-1.709	3.35
203140_at	BCL6	B-cell CLL/lymphoma 6	1.314	6.251
203142_s_at	AP3B1	adaptor related protein complex 3 beta 1 subunit	-2.712	10.319
203145_at	SPAG5	sperm associated antigen 5	-5.137	10.288
203146_s_at	GABBR1	gamma-aminobutyric acid type B receptor subunit 1	1.071	1.64
203147_s_at	TRIM14	tripartite motif containing 14	-1.374	5.437
203148_s_at	TRIM14	tripartite motif containing 14	-1.783	7.223
203151_at	MAP1A	microtubule associated protein 1A	2.157	8.245
203156_at	AKAP11	A-kinase anchoring protein 11	-1.116	3.03
203164_at	SLC33A1	solute carrier family 33 member 1	-1.128	6.086
203165_s_at	SLC33A1	solute carrier family 33 member 1	-2.246	8.335
203176_s_at	TFAM	"transcription factor A, mitochondrial"	-2.308	9.274
203179_at	GALT	galactose-1-phosphate uridylyltransferase	1.185	4.98
203185_at	RASSF2	Ras association domain family member 2	-1.39	2.384
203186_s_at	S100A4	S100 calcium binding protein A4	1.365	3.9
203188_at	B4GAT1	"beta-1,4-glucuronyltransferase 1"	1.813	12.948
203189_s_at	MIR7113///MIR4691///NDUFS8	microRNA 7113///microRNA 4691///NADH:ubiquinone oxidoreductase core subunit S8	-1.655	6.943
203194_s_at	NUP98	nucleoporin 98	-2.565	13.047
203196_at	ABCC4	ATP binding cassette subfamily C member 4	-2.968	4.989
203199_s_at	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	-1.925	5.742
203200_s_at	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	-1.444	3.356
203201_at	PMM2	phosphomannomutase 2	-1.501	8.255
203204_s_at	KDM4A	lysine demethylase 4A	-1.482	4.38
203207_s_at	MTFR1	mitochondrial fission regulator 1	-4.215	10.553
203208_s_at	MTFR1	mitochondrial fission regulator 1	-1.617	4.811
203209_at	RFC5	replication factor C subunit 5	-1.325	6.09
203210_s_at	RFC5	replication factor C subunit 5	-2.771	9.199
203213_at	CDK1	cyclin dependent kinase 1	-4.804	17.926
203214_x_at	CDK1	cyclin dependent kinase 1	-5.582	18.626
203215_s_at	MYO6	myosin VI	-1.823	4.349
203216_s_at	MYO6	myosin VI	-2.097	10.257
203218_at	MAPK9	mitogen-activated protein kinase 9	-2.386	7.529
203222_s_at	TLE1	transducin like enhancer of split 1	-2.116	6.286
203223_at	RABEP1	"rabaptin, RAB GTPase binding effector protein 1"	-1.213	3.496
203225_s_at	RFK	riboflavin kinase	-1.268	8.116
203226_s_at	TSPAN31	tetraspanin 31	-2.327	5.166
203228_at	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3	-2.268	10.133
203231_s_at	ATXN1	ataxin 1	-1.41	2.577
203236_s_at	LGALS9	galectin 9	-1.414	4.141
203239_s_at	CNOT3	CCR4-NOT transcription complex subunit 3	-2.384	9.314
203240_at	FCGBP	Fc fragment of IgG binding protein	4.264	6.364
203242_s_at	PDLIM5	PDZ and LIM domain 5	-3.497	10.432
203243_s_at	PDLIM5	PDZ and LIM domain 5	-1.546	3.998
203249_at	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit	2.606	17.745
203252_at	CDK2AP2	cyclin dependent kinase 2 associated protein 2	-1.982	10.528
203255_at	FBXO11	F-box protein 11	1.043	7.738
203258_at	DRAP1	DR1 associated protein 1	-1.08	6.924
203265_s_at	MAP2K4	mitogen-activated protein kinase kinase 4	-1.632	8.049
203267_s_at	DRG2	developmentally regulated GTP binding protein 2	-1.758	6.271
203272_s_at	TUSC2	tumor suppressor candidate 2	-1.41	5.047
203274_at	F8A3///F8A2///F8A1	coagulation factor VIII-associated 3///coagulation factor VIII-associated 2///coagulation factor VIII-associated 1	-1.141	4.283
203276_at	LMNB1	lamin B1	-2.828	13.051
203281_s_at	MIR5193///UBA7	microRNA 5193///ubiquitin like modifier activating enzyme 7	1.464	4.145
203283_s_at	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	-1.087	5.749
203284_s_at	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	-1.822	9.303
203286_at	RNF44	ring finger protein 44	-1.038	3.788
203287_at	LAD1	ladinin 1	-2.101	7.554
203289_s_at	NPRL3	"NPR3 like, GATOR1 complex subunit"	-1.051	4.648
203293_s_at	LMAN1	"lectin, mannose binding 1"	-1.1	2.024
203294_s_at	LMAN1	"lectin, mannose binding 1"	-1.062	2.221
203296_s_at	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	5.105	16.184
203298_s_at	JARID2	jumonji and AT-rich interaction domain containing 2	-1.156	5.384
203300_x_at	AP1S2	adaptor related protein complex 1 sigma 2 subunit	-2.112	4.413
203302_at	DCK	deoxycytidine kinase	-1.136	6.899
203304_at	BAMBI	BMP and activin membrane bound inhibitor	-1.939	2.98
203308_x_at	HPS1	"HPS1, biogenesis of lysosomal organelles complex 3 subunit 1"	1.242	13.371
203311_s_at	ARF6	ADP ribosylation factor 6	-2.694	10.001
203312_x_at	ARF6	ADP ribosylation factor 6	-1.13	7.036
203313_s_at	TGIF1	TGFB induced factor homeobox 1	-2.721	12.146
203316_s_at	SNRPE	small nuclear ribonucleoprotein polypeptide E	-1.027	9.281
203319_s_at	ZNF148	zinc finger protein 148	-3.048	9.416
203323_at	CAV2	caveolin 2	1.965	3.108
203324_s_at	CAV2	caveolin 2	1.735	3.106
203325_s_at	COL5A1	collagen type V alpha 1 chain	-2.012	5.958
203328_x_at	IDE	insulin degrading enzyme	-2.797	10.74
203334_at	DHX8	DEAH-box helicase 8	-1.056	3.848
203337_x_at	ITGB1BP1	integrin subunit beta 1 binding protein 1	1.59	2.416
203338_at	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon	-1.628	10.897
203339_at	SLC25A12	solute carrier family 25 member 12	1.493	8.556
203342_at	TIMM17B	translocase of inner mitochondrial membrane 17 homolog B (yeast)	-1.686	7.281
203343_at	UGDH	UDP-glucose 6-dehydrogenase	-1.02	2.378
203344_s_at	RBBP8	"RB binding protein 8, endonuclease"	1.045	3.361
203345_s_at	MTF2	metal response element binding transcription factor 2	-1.536	8.871
203347_s_at	MTF2	metal response element binding transcription factor 2	-1.61	9.815
203349_s_at	ETV5	ETS variant 5	1.838	5.533
203350_at	AP1G1	adaptor related protein complex 1 gamma 1 subunit	-1.708	7.947
203354_s_at	PSD3	pleckstrin and Sec7 domain containing 3	-1.687	2.104
203357_s_at	CAPN7	calpain 7	-3.063	12.247
203358_s_at	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	-5.009	22.359
203360_s_at	GJA9-MYCBP///GJA9///MYCBP	GJA9-MYCBP readthrough///gap junction protein alpha 9///MYC binding protein	-2.44	11.618
203362_s_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	-4.91	19.421
203373_at	SOCS2	suppressor of cytokine signaling 2	2.554	7.105
203377_s_at	CDC40	cell division cycle 40	-1.243	3.462
203379_at	RPS6KA1	ribosomal protein S6 kinase A1	-1.084	2.477
203380_x_at	SRSF5	serine and arginine rich splicing factor 5	1.593	13.557
203381_s_at	APOE	apolipoprotein E	-1.865	3.667
203383_s_at	GOLGA1	golgin A1	-1.111	5.56
203385_at	DGKA	diacylglycerol kinase alpha	-1.485	4.176
203386_at	TBC1D4	TBC1 domain family member 4	1.869	11.473
203390_s_at	KIF3C	kinesin family member 3C	-1.272	3.315
203392_s_at	CTBP1	C-terminal binding protein 1	-2.049	4.416
203397_s_at	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3	-2.45	8.666
203400_s_at	TF	transferrin	4.359	5.282
203401_at	PRPS2	phosphoribosyl pyrophosphate synthetase 2	-1.175	4.625
203403_s_at	RNF6	ring finger protein 6	-1.389	5.922
203405_at	PSMG1	proteasome assembly chaperone 1	-2.416	10.412
203407_at	PPL	periplakin	1.902	4.933
203408_s_at	SATB1	SATB homeobox 1	1.706	3.152
203409_at	DDB2	damage specific DNA binding protein 2	1.34	6.655
203414_at	MMD	monocyte to macrophage differentiation associated	1.191	2.589
203415_at	PDCD6	programmed cell death 6	-1.614	9.825
203416_at	CD53	CD53 molecule	-1.945	4.564
203417_at	MFAP2	microfibrillar associated protein 2	-3.905	11.904
203418_at	CCNA2	cyclin A2	-3.288	9.247
203419_at	KMT2B	lysine methyltransferase 2B	-1.167	4.166
203427_at	ASF1A	anti-silencing function 1A histone chaperone	-1.199	3.547
203428_s_at	ASF1A	anti-silencing function 1A histone chaperone	-2.974	9.184
203429_s_at	SUCO	SUN domain containing ossification factor	-1.226	8.404
203431_s_at	ARHGAP32	Rho GTPase activating protein 32	-3.507	9.229
203432_at	TMPO	thymopoietin	-2.197	9.494
203434_s_at	MME	membrane metallo-endopeptidase	3.154	5.242
203435_s_at	MME	membrane metallo-endopeptidase	3.483	10.802
203438_at	STC2	stanniocalcin 2	3.66	8.149
203439_s_at	STC2	stanniocalcin 2	2.731	9.234
203440_at	CDH2	cadherin 2	-1.516	3.175
203446_s_at	OCRL	"OCRL, inositol polyphosphate-5-phosphatase"	-1.317	6.426
203447_at	PSMD5	"proteasome 26S subunit, non-ATPase 5"	-2.216	11.199
203460_s_at	PSEN1	presenilin 1	-1.276	6.668
203463_s_at	EPN2-IT1///EPN2	EPN2 intronic transcript 1///epsin 2	-1.697	7.46
203465_at	MRPL19	mitochondrial ribosomal protein L19	-1.776	10.091
203466_at	MPV17	"MPV17, mitochondrial inner membrane protein"	-2.582	6.941
203468_at	CDK10	cyclin dependent kinase 10	1.302	6.902
203471_s_at	PLEK	pleckstrin	-2.472	5.762
203481_at	SLF2	SMC5-SMC6 complex localization factor 2	-1.906	9.703
203484_at	SEC61G	Sec61 translocon gamma subunit	-1.252	8.779
203485_at	RTN1	reticulon 1	2.713	5.651
203486_s_at	ARMC8	armadillo repeat containing 8	-1.168	4.225
203488_at	ADGRL1	adhesion G protein-coupled receptor L1	1.26	5.632
203492_x_at	CEP57	centrosomal protein 57	-1.39	4.438
203494_s_at	CEP57	centrosomal protein 57	1.081	5.667
203497_at	MED1	mediator complex subunit 1	-2.432	4.233
203498_at	RCAN2	regulator of calcineurin 2	1.798	4.463
203502_at	BPGM	bisphosphoglycerate mutase	-1.877	10.037
203504_s_at	ABCA1	ATP binding cassette subfamily A member 1	-3.043	7.883
203508_at	TNFRSF1B	TNF receptor superfamily member 1B	1.383	3.806
203511_s_at	TRAPPC3	trafficking protein particle complex 3	-1.653	7.112
203517_at	MTX2	metaxin 2	-2.103	8.884
203518_at	LYST	lysosomal trafficking regulator	-1.651	3.104
203519_s_at	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)	-1.069	3.826
203520_s_at	ZNF318	zinc finger protein 318	-1.662	8.795
203525_s_at	APC	"APC, WNT signaling pathway regulator"	-1.097	4.958
203528_at	SEMA4D	semaphorin 4D	-1.18	3.753
203535_at	S100A9	S100 calcium binding protein A9	-6.122	8.359
203544_s_at	STAM	signal transducing adaptor molecule	-2.337	10.899
203545_at	ALG8	"ALG8, alpha-1,3-glucosyltransferase"	-1.807	9.85
203548_s_at	LPL	lipoprotein lipase	5.726	7.427
203549_s_at	LPL	lipoprotein lipase	6.443	12.677
203551_s_at	COX11	"COX11, cytochrome c oxidase copper chaperone"	1.327	5.174
203553_s_at	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	-2.972	15.502
203554_x_at	PTTG1	pituitary tumor-transforming 1	-3.84	19.13
203557_s_at	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1	-1.441	5.511
203560_at	GGH	gamma-glutamyl hydrolase	-2.906	7.711
203561_at	FCGR2A	Fc fragment of IgG receptor IIa	-1.947	4.612
