ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
219386_s_at	SLAMF8	SLAM family member 8	-2.949	6.217
219388_at	GRHL2	grainyhead like transcription factor 2	-1.424	6.354
219390_at	FKBP14	FK506 binding protein 14	-2.948	15.504
219395_at	MIR6773///ESRP2	microRNA 6773///epithelial splicing regulatory protein 2	-1.167	4.691
219396_s_at	MIR631///NEIL1	microRNA 631///nei like DNA glycosylase 1	1.076	4.643
219397_at	COQ10B	coenzyme Q10B	-2.036	9.508
219398_at	CIDEC	cell death inducing DFFA like effector c	5.535	12.303
219399_at	LIN7C	"lin-7 homolog C, crumbs cell polarity complex component"	-1.066	4.513
219402_s_at	DERL1	derlin 1	-1.934	10.665
219410_at	TMEM45A	transmembrane protein 45A	-3.123	6.805
219415_at	TTYH1	tweety family member 1	1.305	4.25
219426_at	AGO3	"argonaute 3, RISC catalytic component"	-1.586	5.204
219427_at	FAT4	FAT atypical cadherin 4	1.511	6.663
219428_s_at	PXMP4	peroxisomal membrane protein 4	-1.53	1.787
219429_at	FA2H	fatty acid 2-hydroxylase	-1.996	3.976
219433_at	BCOR	BCL6 corepressor	-1.3	8.734
219436_s_at	EMCN	endomucin	1.407	1.927
219437_s_at	ANKRD11	ankyrin repeat domain 11	-1.019	3.87
219439_at	C1GALT1	"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"	-1.448	4.63
219440_at	RAI2	retinoic acid induced 2	2.045	5.077
219449_s_at	TMEM70	transmembrane protein 70	-2.901	12.717
219451_at	MSRB2	methionine sulfoxide reductase B2	1.489	5.594
219455_at	CFAP69	cilia and flagella associated protein 69	1.793	8.349
219468_s_at	CUEDC1	CUE domain containing 1	-2.315	4.637
219469_at	DYNC2H1	dynein cytoplasmic 2 heavy chain 1	1.915	6.863
219476_at	C1orf116	chromosome 1 open reading frame 116	2.465	3.669
219477_s_at	LOC101930578///MRPS31P5///THSD1	uncharacterized LOC101930578///mitochondrial ribosomal protein S31 pseudogene 5///thrombospondin type 1 domain containing 1	1.248	5.78
219478_at	WFDC1	WAP four-disulfide core domain 1	-1.057	1.534
219479_at	KDELC1	KDEL motif containing 1	-1.502	6.068
219481_at	TTC13	tetratricopeptide repeat domain 13	-1.445	8.742
219485_s_at	PSMD10	"proteasome 26S subunit, non-ATPase 10"	-2.155	9.375
219493_at	SHCBP1	SHC binding and spindle associated 1	-3.053	13.491
219494_at	RAD54B	RAD54 homolog B (S. cerevisiae)	-2.933	11.267
219499_at	SEC61A2	Sec61 translocon alpha 2 subunit	-1.884	7.372
219507_at	RSRC1	arginine and serine rich coiled-coil 1	-1.98	4.885
219510_at	POLQ	DNA polymerase theta	-1.055	3.599
219511_s_at	SNCAIP	synuclein alpha interacting protein	1.585	3.681
219512_at	DSN1	"DSN1 homolog, MIS12 kinetochore complex component"	-1.489	8.499
219515_at	PRDM10	PR/SET domain 10	-1.411	8.82
219518_s_at	ELL3	elongation factor for RNA polymerase II 3	-1.089	2.158
219519_s_at	SIGLEC1	sialic acid binding Ig like lectin 1	-1.489	2.276
219520_s_at	WWC3	WWC family member 3	-1.63	4.291
219529_at	CLIC3	chloride intracellular channel 3	-3.225	4.128
219534_x_at	CDKN1C	cyclin dependent kinase inhibitor 1C	2.596	11.325
219539_at	GEMIN6	gem nuclear organelle associated protein 6	-1.401	7.879
219540_at	ZNF267	zinc finger protein 267	-1.137	7.381
219544_at	BORA	"bora, aurora kinase A activator"	-2.513	13.272
